THz Laser,,IR Pump,,,,,,,,,,,
,,P,,,,Q,,,,R,,,
Freq (GHz),QN,P Freq (wn),P QN,P Polarization,P G_m,Q Freq (wn),Q QN,Q Polarization,Q G_m,R Freq (wn),R QN,R Polarization,R G_m
875.3682,"sQ(9,6)*",766.2525,"sP(10,6)",perpendicular,1.60E-19,962.9736,"sQ(9,6)",parallel,3.90E-19,1140.5792,"sR(8,6)",perpendicular,5.00E-19
878.0883,"sQ(15,12)*",-,-,-,-,953.8223,"sQ(15,12)",parallel,7.30E-21,1247.6422,"sR(14,12)",perpendicular,6.60E-21
887.0183,"sQ(8,5)*",786.7323,"sP(9,5)",perpendicular,1.40E-19,964.0412,"sQ(8,5)",parallel,2.60E-19,1122.0937,"sR(7,5)",perpendicular,3.90E-19
889.7112,"sQ(6,2)*",827.7021,"sP(7,2)",perpendicular,1.30E-19,965.8991,"sQ(6,2)",parallel,4.30E-20,1084.6098,"sR(5,2)",perpendicular,2.90E-19
890.1306,"sQ(16,13)*",-,-,-,-,951.8355,"sQ(16,13)",parallel,1.40E-21,1264.826,"sR(15,13)",perpendicular,1.30E-21
902.4589,"sQ(7,4)*",807.1441,"sP(8,4)",perpendicular,2.20E-19,964.9796,"sQ(7,4)",parallel,2.80E-19,1103.4305,"sR(6,4)",perpendicular,5.20E-19
921.9405,"sQ(6,3)*",827.4878,"sP(7,3)",perpendicular,5.80E-19,965.7913,"sQ(6,3)",parallel,4.70E-19,1084.5931,"sR(5,3)",perpendicular,1.20E-18
925.6582,"sQ(5,1)*",847.8763,"sP(6,1)",perpendicular,7.70E-20,966.5324,"sQ(5,1)",parallel,7.50E-21,1065.5943,"sR(4,1)",perpendicular,1.40E-19
945.6048,"sQ(5,2)*",847.7629,"sP(6,2)",perpendicular,3.00E-19,966.4736,"sQ(5,2)",parallel,1.30E-19,1065.5817,"sR(4,2)",perpendicular,5.30E-19
958.8279,"sQ(8,6)*",786.1906,"sP(9,6)",perpendicular,4.00E-19,963.7962,"sQ(8,6)",parallel,1.30E-18,1122.1177,"sR(7,6)",perpendicular,9.70E-19
959.5663,"sQ(9,7)*",765.5612,"sP(10,7)",perpendicular,1.10E-19,962.6698,"sQ(9,7)",parallel,4.50E-19,1140.632,"sR(8,7)",perpendicular,3.10E-19
961.8846,"sQ(7,5)*",806.7377,"sP(8,5)",perpendicular,1.30E-19,964.7902,"sQ(7,5)",parallel,8.00E-19,1103.4343,"sR(6,5)",perpendicular,7.00E-19
964.06,"sQ(10,8)*",744.8509,"sP(11,8)",perpendicular,5.50E-20,961.411,"sQ(10,8)",parallel,2.80E-19,1158.9758,"sR(9,8)",perpendicular,1.80E-19
968.8093,"sQ(6,4)*",827.2011,"sP(7,4)",perpendicular,4.70E-19,965.652,"sQ(6,4)",parallel,8.50E-19,1084.5836,"sR(5,4)",perpendicular,9.00E-19
972.3013,"sQ(11,9)*",724.0613,"sP(12,9)",perpendicular,5.20E-20,960.0199,"sQ(11,9)",parallel,3.30E-19,1177.1477,"sR(10,9)",perpendicular,1.90E-19
973.8268,"sQ(4,1)*",867.9689,"sP(5,1)",perpendicular,1.70E-19,967.0308,"sQ(4,1)",parallel,2.20E-20,1046.4006,"sR(3,1)",perpendicular,2.50E-19
979.6498,"sQ(5,3)*",847.5781,"sP(6,3)",perpendicular,1.20E-18,966.3799,"sQ(5,3)",parallel,1.40E-18,1065.5654,"sR(4,3)",perpendicular,2.00E-18
984.3138,"sQ(12,10)*",703.1943,"sP(13,10)",perpendicular,1.10E-20,958.4967,"sQ(12,10)",parallel,7.90E-20,1195.1464,"sR(11,10)",perpendicular,4.90E-20
994.7477,"sQ(4,2)*",867.8729,"sP(5,2)",perpendicular,6.10E-19,966.981,"sQ(4,2)",parallel,3.80E-19,1046.388,"sR(3,2)",perpendicular,8.50E-19
1000.1505,"sQ(13,11)*",682.2518,"sP(14,11)",perpendicular,4.60E-21,956.8418,"sQ(13,11)",parallel,4.20E-20,1212.9709,"sR(12,11)",perpendicular,2.30E-20
1014.0847,"sQ(3,1)*",888.0794,"sP(4,1)",perpendicular,3.40E-19,967.4491,"sQ(3,1)",parallel,7.10E-20,1027.047,"sR(2,1)",perpendicular,4.10E-19
1019.8937,"sQ(14,12)*",661.2358,"sP(15,12)",perpendicular,3.60E-21,955.0557,"sQ(14,12)",parallel,3.70E-20,1230.6204,"sR(13,12)",perpendicular,2.00E-20
1029.3749,"sQ(5,4)*",847.3376,"sP(6,4)",perpendicular,9.10E-19,966.2692,"sQ(5,4)",parallel,2.50E-18,1065.5638,"sR(4,4)",perpendicular,1.10E-18
1030.5299,"sQ(4,3)*",867.7196,"sP(5,3)",perpendicular,2.30E-18,966.9051,"sQ(4,3)",parallel,4.20E-18,1046.3746,"sR(3,3)",perpendicular,2.40E-18
1032.3214,"sQ(6,5)*",826.8553,"sP(7,5)",perpendicular,6.50E-19,965.4994,"sQ(6,5)",parallel,2.40E-18,1084.5992,"sR(5,5)",perpendicular,9.10E-19
1035.8161,"sQ(3,2)*",887.9998,"sP(4,2)",perpendicular,1.10E-18,967.4068,"sQ(3,2)",parallel,1.20E-18,1027.0329,"sR(2,2)",perpendicular,1.10E-18
1039.3598,"sQ(7,6)*",806.2742,"sP(8,6)",perpendicular,8.00E-19,964.5957,"sQ(7,6)",parallel,4.00E-18,1103.4795,"sR(6,6)",perpendicular,1.30E-18
1043.6537,"sQ(15,13)*",-,-,-,-,953.1392,"sQ(15,13)",parallel,7.80E-21,1248.0943,"sR(14,13)",perpendicular,4.20E-21
1045.3191,"sQ(2,1)*",908.1768,"sP(3,1)",perpendicular,6.90E-19,967.7747,"sQ(2,1)",parallel,2.70E-19,1007.5405,"sR(1,1)",perpendicular,5.70E-19
1050.5203,"sQ(8,7)*",785.5963,"sP(9,7)",perpendicular,2.40E-19,963.5585,"sQ(8,7)",parallel,1.50E-18,1122.2036,"sR(7,7)",perpendicular,4.50E-19
1065.8671,"sQ(9,8)*",764.8236,"sP(10,8)",perpendicular,1.30E-19,962.3884,"sQ(9,8)",parallel,1.00E-18,1140.7706,"sR(8,8)",perpendicular,2.80E-19
1066.651,"sQ(1,1) ",928.232,"sP(2,1)",perpendicular,1.50E-18,967.9978,"sQ(1,1)",parallel,1.80E-18,-,-,-,-
1067.677,"sQ(2,2) ",908.1123,"sP(3,2)",perpendicular,1.80E-18,967.7384,"sQ(2,2)",parallel,4.60E-18,-,-,-,-
1071.5686,"sQ(16,14)*",-,-,-,-,951.0932,"sQ(16,14)",parallel,3.00E-21,1265.3922,"sR(15,14)",perpendicular,1.60E-21
1073.0499,"sQ(3,3) ",887.8768,"sP(4,3)",perpendicular,3.20E-18,967.3463,"sQ(3,3)",parallel,1.30E-17,-,-,-,-
1082.5928,"sQ(4,4) ",867.5201,"sP(5,4)",perpendicular,1.30E-18,966.8147,"sQ(4,4)",parallel,7.50E-18,-,-,-,-
1085.4985,"sQ(10,9)*",743.9582,"sP(11,9)",perpendicular,1.30E-19,961.086,"sQ(10,9)",parallel,1.20E-18,1159.18,"sR(9,9)",perpendicular,3.20E-19
1096.5904,"sQ(5,5) ",847.0513,"sP(6,5)",perpendicular,9.40E-19,966.1511,"sQ(5,5)",parallel,7.20E-18,-,-,-,-
1103.804,"sQ(17,15)*",-,-,-,-,948.9188,"sQ(17,15)",parallel,2.20E-21,1282.514,"sR(16,15)",perpendicular,1.20E-21
1109.5454,"sQ(11,10)*",723.0027,"sP(12,10)",perpendicular,3.10E-20,959.6524,"sQ(11,10)",parallel,3.30E-19,1177.4315,"sR(10,10)",perpendicular,8.70E-20
1115.081,"sQ(6,6) ",826.4701,"sP(7,6)",perpendicular,1.20E-18,965.3539,"sQ(6,6)",parallel,1.20E-17,-,-,-,-
1138.1722,"sQ(12,11)*",701.9597,"sP(13,11)",perpendicular,1.40E-20,958.0888,"sQ(12,11)",parallel,1.70E-19,1195.5251,"sR(11,11)",perpendicular,4.50E-20
1138.211,"sQ(7,7) ",805.779,"sP(8,7)",perpendicular,3.90E-19,964.424,"sQ(7,7)",parallel,4.70E-18,-,-,-,-
1166.1643,"sQ(8,8) ",784.9805,"sP(9,8)",perpendicular,2.20E-19,963.3627,"sQ(8,8)",parallel,3.30E-18,-,-,-,-
1171.5755,"sQ(13,12)*",680.8321,"sP(14,12)",perpendicular,1.10E-20,956.3968,"sQ(13,12)",parallel,1.70E-19,1213.4613,"sR(12,12)",perpendicular,4.30E-20
1199.1625,"sQ(9,9) ",764.0774,"sP(10,9)",perpendicular,2.40E-19,962.1714,"sQ(9,9)",parallel,4.40E-18,-,-,-,-
1209.9839,"sQ(14,13)*",659.6231,"sP(15,13)",perpendicular,2.20E-21,954.5783,"sQ(14,13)",parallel,4.40E-20,1231.2408,"sR(13,13)",perpendicular,9.60E-21
1237.4652,"sQ(10,10) ",743.0731,"sP(11,10)",perpendicular,6.00E-20,960.8522,"sQ(10,10)",parallel,1.30E-18,-,-,-,-
1253.6581,"sQ(15,14)*",-,-,-,-,952.6354,"sQ(15,14)",parallel,1.70E-20,1248.8648,"sR(14,14)",perpendicular,4.00E-21
1281.3702,"sQ(11,11) ",721.9708,"sP(12,11)",perpendicular,2.80E-20,959.4071,"sQ(11,11)",parallel,7.20E-19,-,-,-,-
1302.8895,"sQ(16,15)*",-,-,-,-,950.5708,"sQ(16,15)",parallel,1.30E-20,1266.335,"sR(15,15)",perpendicular,3.20E-21
1331.2132,"sQ(12,12) ",700.7745,"sP(13,12)",perpendicular,2.60E-20,957.839,"sQ(12,12)",parallel,7.50E-19,-,-,-,-
1338.679,"aR(3,3) ",832.6348,"aP(5,3)",parallel,1.10E-18,931.7736,"aQ(4,3)",perpendicular,2.10E-18,1011.2036,"aR(3,3)",parallel,1.20E-18
1358.0002,"sQ(17,16)*",-,-,-,-,948.3876,"sQ(17,16)",parallel,2.50E-21,-,-,-,-
1373.0488,"aR(3,2) ",834.0122,"aP(5,2)",parallel,1.20E-18,933.0758,"aQ(4,2)",perpendicular,7.30E-19,1012.4451,"aR(3,2)",parallel,1.70E-18
1387.3677,"sQ(13,13) ",679.4885,"sP(14,13)",perpendicular,5.40E-21,956.151,"sQ(13,13)",parallel,1.80E-19,-,-,-,-
1393.0785,"aR(3,1) ",834.8238,"aP(5,1)",parallel,1.60E-18,933.8425,"aQ(4,1)",perpendicular,2.10E-19,1013.1755,"aR(3,1)",parallel,2.40E-18
1450.2437,"sQ(14,14) ",658.1175,"sP(15,14)",perpendicular,2.20E-21,954.3469,"sQ(14,14)",parallel,8.40E-20,-,-,-,-
1520.2868,"sQ(15,15) ",636.6669,"sP(16,15)",perpendicular,1.60E-21,952.4311,"sQ(15,15)",parallel,7.20E-20,-,-,-,-
1597.9758,"sQ(16,16) ",-,-,-,-,950.4086,"sQ(16,16)",parallel,1.50E-20,-,-,-,-
1683.8197,"sQ(17,17) ",-,-,-,-,948.2853,"sQ(17,17)",parallel,5.60E-21,-,-,-,-
1778.3533,"sQ(18,18) ",-,-,-,-,946.0679,"sQ(18,18)",parallel,4.00E-21,-,-,-,-
1931.0487,"aR(4,4) ",812.3011,"aP(6,4)",parallel,3.30E-19,931.1773,"aQ(5,4)",perpendicular,9.00E-19,1030.4224,"aR(4,4)",parallel,4.00E-19
